 1,0.074,1.007,0.000
 2,0.060,1.447,0.017
 3,0.036,0.763,0.007
 4,0.369,2.010,0.081
 5,0.307,1.346,0.062
 6,0.305,1.243,0.035
 7,0.103,1.586,0.005
 8,0.026,0.821,0.220
 9,0.047,1.735,0.000
10,0.059,1.396,0.114
11,0.022,1.109,0.180
12,0.043,0.993,0.000
13,0.060,2.007,0.147
14,0.016,1.373,0.000
15,0.049,2.242,0.000
16,0.028,1.647,0.000
17,0.016,1.350,0.075
18,0.018,0.948,0.000
19,0.176,1.501,0.026
20,0.076,1.907,0.000
21,0.106,1.952,0.000
22,0.100,0.996,0.083
23,0.085,1.433,0.044
24,0.045,0.866,0.016
25,0.044,1.049,0.000
26,0.123,1.665,0.000
27,0.072,2.139,0.068
28,0.037,0.534,0.000
29,0.074,1.027,0.000
30,0.183,1.678,0.000
31,0.031,1.214,0.119
32,0.011,0.905,0.000
33,0.057,1.525,0.066
34,0.031,0.763,0.156
